    0°F   -17.778°C
    1°F   -17.222°C
    2°F   -16.667°C
    3°F   -16.111°C
    4°F   -15.556°C
    5°F   -15.000°C
    6°F   -14.444°C
    7°F   -13.889°C
    8°F   -13.333°C
    9°F   -12.778°C
   10°F   -12.222°C
   11°F   -11.667°C
   12°F   -11.111°C
   13°F   -10.556°C
   14°F   -10.000°C
   15°F    -9.444°C
   16°F    -8.889°C
   17°F    -8.333°C
   18°F    -7.778°C
   19°F    -7.222°C
   20°F    -6.667°C
   21°F    -6.111°C
   22°F    -5.556°C
   23°F    -5.000°C
   24°F    -4.444°C
   25°F    -3.889°C
   26°F    -3.333°C
   27°F    -2.778°C
   28°F    -2.222°C
   29°F    -1.667°C
   30°F    -1.111°C
   31°F    -0.556°C
   32°F    +0.000°C
   33°F    +0.556°C
   34°F    +1.111°C
   35°F    +1.667°C
   36°F    +2.222°C
   37°F    +2.778°C
   38°F    +3.333°C
   39°F    +3.889°C
   40°F    +4.444°C
   41°F    +5.000°C
   42°F    +5.556°C
   43°F    +6.111°C
   44°F    +6.667°C
   45°F    +7.222°C
   46°F    +7.778°C
   47°F    +8.333°C
   48°F    +8.889°C
   49°F    +9.444°C
   50°F   +10.000°C
   51°F   +10.556°C
   52°F   +11.111°C
   53°F   +11.667°C
   54°F   +12.222°C
   55°F   +12.778°C
   56°F   +13.333°C
   57°F   +13.889°C
   58°F   +14.444°C
   59°F   +15.000°C
   60°F   +15.556°C
   61°F   +16.111°C
   62°F   +16.667°C
   63°F   +17.222°C
   64°F   +17.778°C
   65°F   +18.333°C
   66°F   +18.889°C
   67°F   +19.444°C
   68°F   +20.000°C
   69°F   +20.556°C
   70°F   +21.111°C
   71°F   +21.667°C
   72°F   +22.222°C
   73°F   +22.778°C
   74°F   +23.333°C
   75°F   +23.889°C
   76°F   +24.444°C
   77°F   +25.000°C
   78°F   +25.556°C
   79°F   +26.111°C
   80°F   +26.667°C
   81°F   +27.222°C
   82°F   +27.778°C
   83°F   +28.333°C
   84°F   +28.889°C
   85°F   +29.444°C
   86°F   +30.000°C
   87°F   +30.556°C
   88°F   +31.111°C
   89°F   +31.667°C
   90°F   +32.222°C
   91°F   +32.778°C
   92°F   +33.333°C
   93°F   +33.889°C
   94°F   +34.444°C
   95°F   +35.000°C
   96°F   +35.556°C
   97°F   +36.111°C
   98°F   +36.667°C
   99°F   +37.222°C
  100°F   +37.778°C
  101°F   +38.333°C
  102°F   +38.889°C
  103°F   +39.444°C
  104°F   +40.000°C
  105°F   +40.556°C
  106°F   +41.111°C
  107°F   +41.667°C
  108°F   +42.222°C
  109°F   +42.778°C
  110°F   +43.333°C
  111°F   +43.889°C
  112°F   +44.444°C
  113°F   +45.000°C
  114°F   +45.556°C
  115°F   +46.111°C
  116°F   +46.667°C
  117°F   +47.222°C
  118°F   +47.778°C
  119°F   +48.333°C
  120°F   +48.889°C
  121°F   +49.444°C
  122°F   +50.000°C
  123°F   +50.556°C
  124°F   +51.111°C
  125°F   +51.667°C
  126°F   +52.222°C
  127°F   +52.778°C
  128°F   +53.333°C
  129°F   +53.889°C
  130°F   +54.444°C
  131°F   +55.000°C
  132°F   +55.556°C
  133°F   +56.111°C
  134°F   +56.667°C
  135°F   +57.222°C
  136°F   +57.778°C
  137°F   +58.333°C
  138°F   +58.889°C
  139°F   +59.444°C
  140°F   +60.000°C
  141°F   +60.556°C
  142°F   +61.111°C
  143°F   +61.667°C
  144°F   +62.222°C
  145°F   +62.778°C
  146°F   +63.333°C
  147°F   +63.889°C
  148°F   +64.444°C
  149°F   +65.000°C
  150°F   +65.556°C
  151°F   +66.111°C
  152°F   +66.667°C
  153°F   +67.222°C
  154°F   +67.778°C
  155°F   +68.333°C
  156°F   +68.889°C
  157°F   +69.444°C
  158°F   +70.000°C
  159°F   +70.556°C
  160°F   +71.111°C
  161°F   +71.667°C
  162°F   +72.222°C
  163°F   +72.778°C
  164°F   +73.333°C
  165°F   +73.889°C
  166°F   +74.444°C
  167°F   +75.000°C
  168°F   +75.556°C
  169°F   +76.111°C
  170°F   +76.667°C
  171°F   +77.222°C
  172°F   +77.778°C
  173°F   +78.333°C
  174°F   +78.889°C
  175°F   +79.444°C
  176°F   +80.000°C
  177°F   +80.556°C
  178°F   +81.111°C
  179°F   +81.667°C
  180°F   +82.222°C
  181°F   +82.778°C
  182°F   +83.333°C
  183°F   +83.889°C
  184°F   +84.444°C
  185°F   +85.000°C
  186°F   +85.556°C
  187°F   +86.111°C
  188°F   +86.667°C
  189°F   +87.222°C
  190°F   +87.778°C
  191°F   +88.333°C
  192°F   +88.889°C
  193°F   +89.444°C
  194°F   +90.000°C
  195°F   +90.556°C
  196°F   +91.111°C
  197°F   +91.667°C
  198°F   +92.222°C
  199°F   +92.778°C
  200°F   +93.333°C
  201°F   +93.889°C
  202°F   +94.444°C
  203°F   +95.000°C
  204°F   +95.556°C
  205°F   +96.111°C
  206°F   +96.667°C
  207°F   +97.222°C
  208°F   +97.778°C
  209°F   +98.333°C
  210°F   +98.889°C
  211°F   +99.444°C
  212°F  +100.000°C
